"","Time.Stamp","TID","Sex","Activity","x","y"
"1","00:00",1,"F","W",1,1
"2","00:00",2,"M","R",2,1
"3","00:00",6,"M","W",1,2
"4","00:00",8,"M","W",3,2
"5","00:00",10,"F","W",5,2
"6","00:00",10,"M","D",5,2
"7","00:00",19,"F","W",4,4
"8","00:00",19,"F","R",4,4
"9","00:00",19,"F","R",4,4
"10","00:00",14,"M","W",4,3
"11","00:00",12,"M","W",2,3
"12","00:00",11,"M","R",1,3
"13","00:00",15,"M","W",5,3
"14","00:30",1,"F","R",1,1
"15","00:30",2,"M","R",2,1
"16","00:30",8,"M","W",3,2
"17","00:30",7,"M","W",2,2
"18","00:30",10,"F","W",5,2
"19","00:30",6,"M","W",1,2
"20","00:30",12,"M","F",2,3
"21","00:30",12,"M","F",2,3
"22","00:30",14,"M","W",4,3
"23","00:30",11,"M","R",1,3
"24","00:30",19,"F","R",4,4
"25","00:30",19,"F","R",4,4
"26","00:30",19,"F","R",4,4
"27","00:30",18,"M","R",3,4
"28","00:30",17,"M","W",2,4
"29","00:30",2,"F","W",2,1
"30","01:00",1,"F","R",1,1
"31","01:00",2,"M","R",2,1
"32","01:00",2,"F","W",2,1
"33","01:00",9,"M","W",4,2
"34","01:00",10,"M","F",5,2
"35","01:00",10,"M","F",5,2
"36","01:00",10,"F","W",5,2
"37","01:00",19,"F","R",4,4
"38","01:00",19,"F","R",4,4
"39","01:00",19,"F","R",4,4
"40","01:00",19,"M","D",4,4
"41","01:00",12,"M","P",2,3
"42","01:00",14,"M","P",4,3
"43","01:00",11,"M","R",1,3
"44","01:00",17,"M","W",2,4
"45","01:00",16,"M","R",1,4
"46","01:30",1,"F","R",1,1
"47","01:30",2,"M","R",2,1
"48","01:30",2,"F","W",2,1
"49","01:30",9,"M","W",4,2
"50","01:30",7,"M","W",2,2
"51","01:30",10,"M","W",5,2
"52","01:30",14,"M","P",4,3
"53","01:30",12,"M","P",2,3
"54","01:30",15,"F","W",5,3
"55","01:30",15,"M","D",5,3
"56","01:30",15,"M","D",5,3
"57","01:30",16,"M","W",1,4
"58","01:30",16,"M","W",1,4
"59","01:30",19,"F","R",4,4
"60","01:30",19,"F","R",4,4
"61","01:30",11,"M","R",1,3
"62","02:00",16,"M","F",1,4
"63","02:00",16,"M","F",1,4
"64","02:00",15,"M","D",5,3
"65","02:00",15,"M","D",5,3
"66","02:00",15,"F","W",5,3
"67","02:00",19,"F","R",4,4
"68","02:00",19,"F","R",4,4
"69","02:00",19,"F","R",4,4
"70","02:00",12,"M","F",2,3
"71","02:00",14,"M","F",4,3
"72","02:00",10,"M","F",5,2
"73","02:00",11,"M","R",1,3
"74","02:00",9,"M","W",4,2
"75","02:00",2,"M","R",2,1
"76","02:00",3,"F","W",3,1
"77","02:00",2,"F","W",2,1
"78","02:30",2,"F","W",2,1
"79","02:30",2,"M","R",2,1
"80","02:30",3,"M","W",3,1
"81","02:30",7,"M","W",2,2
"82","02:30",9,"M","W",4,2
"83","02:30",10,"M","W",5,2
"84","02:30",14,"M","F",4,3
"85","02:30",12,"M","F",2,3
"86","02:30",12,"M","W",2,3
"87","02:30",11,"M","R",1,3
"88","02:30",19,"F","R",4,4
"89","02:30",19,"F","R",4,4
"90","02:30",17,"M","P",2,4
"91","02:30",17,"M","P",2,4
"92","03:00",2,"F","W",2,1
"93","03:00",2,"M","R",2,1
"94","03:00",3,"M","W",3,1
"95","03:00",7,"M","W",2,2
"96","03:00",9,"M","W",4,2
"97","03:00",14,"M","F",4,3
"98","03:00",12,"M","F",2,3
"99","03:00",15,"M","W",5,3
"100","03:00",15,"M","W",5,3
"101","03:00",10,"M","W",5,2
"102","03:00",11,"M","R",1,3
"103","03:00",16,"M","P",1,4
"104","03:00",16,"M","P",1,4
"105","03:00",18,"F","R",3,4
"106","03:00",18,"F","R",3,4
"107","03:00",18,"M","W",3,4
"108","03:30",2,"M","R",2,1
"109","03:30",3,"M","R",3,1
"110","03:30",6,"F","W",1,2
"111","03:30",6,"M","D",1,2
"112","03:30",9,"M","W",4,2
"113","03:30",10,"M","W",5,2
"114","03:30",12,"M","F",2,3
"115","03:30",14,"M","F",4,3
"116","03:30",15,"M","W",5,3
"117","03:30",15,"M","W",5,3
"118","03:30",11,"M","R",1,3
"119","03:30",18,"M","W",3,4
"120","03:30",19,"F","R",4,4
"121","04:00",12,"M","P",2,3
"122","04:00",14,"M","P",4,3
"123","04:00",15,"M","P",5,3
"124","04:00",15,"M","P",5,3
"125","04:00",16,"M","W",1,4
"126","04:00",19,"F","R",4,4
"127","04:00",19,"F","R",4,4
"128","04:00",6,"M","W",1,2
"129","04:00",6,"F","W",1,2
"130","04:00",8,"M","W",3,2
"131","04:00",2,"M","R",2,1
"132","04:00",3,"M","R",3,1
"133","04:30",2,"M","R",2,1
"134","04:30",3,"M","R",3,1
"135","04:30",6,"F","W",1,2
"136","04:30",7,"M","W",2,2
"137","04:30",9,"M","W",4,2
"138","04:30",10,"M","W",5,2
"139","04:30",12,"M","W",2,3
"140","04:30",11,"M","R",1,3
"141","04:30",13,"F","W",3,3
"142","04:30",13,"M","D",3,3
"143","04:30",17,"M","W",2,4
"144","04:30",15,"M","W",5,3
"145","04:30",16,"M","W",1,4
"146","04:30",18,"M","W",3,4
"147","04:30",19,"F","R",4,4
"148","04:30",19,"F","R",4,4
